model,offered_conc,req_s,out_tok_s,achieved_conc,median_ttft_ms,median_tpot_ms,p99_ttft_ms
lfm2.5-8b-a1b,8,9.0,1663,7.9,38,4.0,409
lfm2.5-8b-a1b,16,15.3,2817,15.7,38,5.0,663
lfm2.5-8b-a1b,32,20.2,3732,30.7,47,7.6,721
lfm2.5-8b-a1b,64,25.4,4684,61.0,58,12.4,3247
lfm2.5-8b-a1b,128,31.8,5857,118.0,84,20.0,4232
lfm2.5-8b-a1b,256,39.6,7309,215.3,205,33.4,3527
qwen3-30b-a3b-bf16,8,4.0,739,8.0,45,9.5,745
qwen3-30b-a3b-bf16,16,5.6,1040,15.8,48,13.4,960
qwen3-30b-a3b-bf16,32,7.7,1425,31.3,63,20.1,1064
qwen3-30b-a3b-bf16,64,10.1,1859,61.7,78,30.6,2039
qwen3-30b-a3b-bf16,128,12.0,2219,118.8,96,51.6,3827
qwen3-30b-a3b-bf16,256,13.1,2416,212.0,669,65.8,35830
