model,config,moe_runner_backend,attention_backend,cuda_graph,max_running_reqs,chunked_prefill,schedule_policy,mem_fraction_static,hbm_used_peak_GB,hbm_bw_peak_pct,power_peak_W,c1_out2k__tokens_per_s,c1_out2k__req_per_s,c1_out2k__MFU_amort_pct,c1_out2k__MFU_simple_pct,c1_out2k__MBU_pct,c1_out2k__TPOT_ms,c1_out2k__decode_step_ms,c32_out256__tokens_per_s,c32_out256__req_per_s,c32_out256__MFU_amort_pct,c32_out256__MFU_simple_pct,c32_out256__MBU_pct,c32_out256__TPOT_ms,c32_out256__decode_step_ms,c32_out1k__tokens_per_s,c32_out1k__req_per_s,c32_out1k__MFU_amort_pct,c32_out1k__MFU_simple_pct,c32_out1k__MBU_pct,c32_out1k__TPOT_ms,c32_out1k__decode_step_ms,c64_out512__tokens_per_s,c64_out512__req_per_s,c64_out512__MFU_amort_pct,c64_out512__MFU_simple_pct,c64_out512__MBU_pct,c64_out512__TPOT_ms,c64_out512__decode_step_ms,c128_out256__tokens_per_s,c128_out256__req_per_s,c128_out256__MFU_amort_pct,c128_out256__MFU_simple_pct,c128_out256__MBU_pct,c128_out256__TPOT_ms,c128_out256__decode_step_ms
lfm2.5-8b-a1b,cookbook_baseline,auto,auto,on,32,-1,lpm,0.85,120.2,72.0,581,444.1,0.217,0.15,0.144,29.61,2.252,0.585,5993.6,23.413,3.92,1.939,12.49,5.339,4.792,6509.8,6.357,2.67,2.106,13.56,4.916,4.792,6300.6,12.306,3.09,2.039,6.56,10.158,,6078.0,23.742,3.98,1.967,3.17,21.06,
lfm2.5-8b-a1b,v3_best_chunk8k,auto,auto,on,32,8192,fcfs,0.75,106.4,72.0,582,443.3,0.216,0.15,0.143,29.55,2.256,0.568,5742.1,22.43,3.76,1.858,11.96,5.573,4.777,6510.9,6.358,2.67,2.107,13.56,4.915,4.777,6333.7,12.37,3.11,2.049,6.6,10.105,,6091.0,23.793,3.99,1.971,3.17,21.015,
lfm2.5-8b-a1b,big_batch_cap128,auto,auto,on,128,2048,fcfs,0.9,126.7,70.0,601,444.4,0.217,0.15,0.144,29.62,2.25,0.118,5942.4,23.212,3.89,1.923,12.38,5.385,4.751,6440.7,6.29,2.64,2.084,13.42,4.968,4.751,8874.0,17.332,4.36,2.871,9.24,7.212,6.624,12917.4,50.459,8.46,4.18,6.73,9.909,7.448
qwen3-30b-a3b-bf16,cookbook_baseline,auto,auto,on,32,-1,lpm,0.85,120.0,69.0,563,231.4,0.113,0.24,0.22,45.31,4.322,0.81,3433.8,13.413,6.65,3.264,21.01,9.319,8.306,3710.7,3.624,4.54,3.527,22.71,8.624,8.306,3794.1,7.41,5.53,3.606,11.61,16.868,,3810.3,14.884,7.38,3.622,5.83,33.593,
qwen3-30b-a3b-bf16,v3_best_chunk8k,auto,auto,on,32,8192,fcfs,0.75,106.1,69.0,563,231.4,0.113,0.24,0.22,45.32,4.321,0.801,3691.8,14.421,7.15,3.509,22.59,8.668,8.299,3713.0,3.626,4.54,3.529,22.72,8.618,8.299,3801.0,7.424,5.54,3.613,11.63,16.838,,3817.8,14.913,7.39,3.629,5.84,33.527,
qwen3-30b-a3b-bf16,big_batch_cap128,auto,auto,on,128,2048,fcfs,0.9,126.6,69.0,665,231.4,0.113,0.24,0.22,45.31,4.322,0.166,3721.2,14.536,7.21,3.537,22.77,8.599,8.366,3709.3,3.622,4.54,3.526,22.7,8.627,8.366,5971.3,11.663,8.7,5.675,18.27,10.718,10.397,9308.9,36.363,18.03,8.848,14.24,13.75,12.494
qwen3-30b-a3b-fp8,cookbook_baseline,auto,auto,on,32,-1,lpm,0.85,120.0,54.0,482,232.2,0.113,0.12,0.11,22.73,4.307,0.836,4569.6,17.85,4.42,2.172,13.98,7.003,6.434,4696.8,4.587,2.87,2.232,14.37,6.813,6.434,4827.3,9.428,3.52,2.294,7.39,13.258,,4782.4,18.681,4.63,2.273,3.66,26.765,
qwen3-30b-a3b-fp8,v3_best_chunk8k,auto,auto,on,32,8192,fcfs,0.75,106.1,53.0,482,231.9,0.113,0.12,0.11,22.7,4.313,0.844,4625.8,18.07,4.48,2.198,14.15,6.918,6.43,4699.5,4.589,2.88,2.233,14.38,6.809,6.43,4837.8,9.449,3.52,2.299,7.4,13.229,,4788.2,18.704,4.64,2.275,3.66,26.732,
qwen3-30b-a3b-fp8,big_batch_cap128,auto,auto,on,128,2048,fcfs,0.9,126.6,54.0,575,231.7,0.113,0.12,0.11,22.69,4.315,0.15,4627.0,18.074,4.48,2.199,14.16,6.916,6.551,4701.0,4.591,2.88,2.234,14.38,6.807,6.551,7954.8,15.537,5.79,3.78,12.17,8.045,7.524,11988.2,46.829,11.61,5.697,9.17,10.677,9.416
qwen3-0.6b,cookbook_baseline,auto,auto,on,32,-1,lpm,0.85,119.5,52.0,546,550.9,0.269,0.08,0.067,13.77,1.815,0.375,12706.8,49.636,3.18,1.542,9.93,2.518,2.269,12200.8,11.915,1.97,1.48,9.53,2.623,2.269,13347.6,26.07,2.53,1.62,5.21,4.795,,13771.6,53.795,3.45,1.671,2.69,9.295,
qwen3-0.6b,v3_best_chunk8k,auto,auto,on,32,8192,fcfs,0.75,105.7,51.0,545,549.2,0.268,0.08,0.067,13.73,1.821,0.351,12719.3,49.685,3.19,1.543,9.94,2.516,2.27,12236.1,11.949,1.98,1.485,9.56,2.615,2.27,13374.5,26.122,2.54,1.623,5.22,4.785,,13931.0,54.418,3.49,1.69,2.72,9.188,
qwen3-0.6b,big_batch_cap128,auto,auto,on,128,2048,fcfs,0.9,126.3,51.0,562,568.6,0.278,0.08,0.069,14.21,1.759,0.076,12635.9,49.359,3.17,1.533,9.87,2.532,2.396,12244.0,11.957,1.98,1.486,9.57,2.614,2.396,19599.9,38.281,3.72,2.378,7.66,3.265,2.933,26500.7,103.518,6.64,3.215,5.18,4.83,3.774
