cell,kernel,grid,block,regs_per_thread,shmem_bytes,calls,mean_us,total_us
dense_R1,flash::FlashAttnFwdSm90,"(132, 1, 1)","(384, 1, 1)",168,166912,252,7.9,2001.0
dense_R2,flash::FlashAttnFwdSm90,"(132, 1, 1)","(384, 1, 1)",168,166912,252,13.5,3411.0
dense_R3,flash::FlashAttnFwdSm90,"(132, 1, 1)","(384, 1, 1)",168,166912,252,56.4,14203.2
dense_R4,flash::FlashAttnFwdSm90,"(132, 1, 1)","(384, 1, 1)",168,166912,252,55.8,14068.7
dense_R5,flash::FlashAttnFwdSm90,"(132, 1, 1)","(384, 1, 1)",168,166912,252,20.9,5262.5
dense_R6,flash::FlashAttnFwdSm90,"(132, 1, 1)","(384, 1, 1)",168,166912,252,8.1,2053.5
dense_R7,flash::FlashAttnFwdSm90,"(132, 1, 1)","(384, 1, 1)",168,166912,252,147.9,37279.2
dense_R8,flash::FlashAttnFwdSm90,"(132, 1, 1)","(384, 1, 1)",168,166912,252,94.5,23811.9
gemma_R1,flash::FlashAttnFwdSm90,"(132, 1, 1)","(384, 1, 1)",168,199680,154,11.1,1702.1
gemma_R2,flash::FlashAttnFwdSm90,"(132, 1, 1)","(384, 1, 1)",168,199680,154,11.1,1707.7
gemma_R3,flash::FlashAttnFwdSm90,"(132, 1, 1)","(384, 1, 1)",168,199680,198,20.5,4060.0
gemma_R4,flash::FlashAttnFwdSm90,"(132, 1, 1)","(384, 1, 1)",168,199680,198,20.5,4056.1
gemma_R5,flash::FlashAttnFwdSm90,"(132, 1, 1)","(384, 1, 1)",168,232448,146,22.9,3344.6
gemma_R6,flash::FlashAttnFwdSm90,"(132, 1, 1)","(384, 1, 1)",168,199680,176,10.9,1913.0
gemma_R7,flash::FlashAttnFwdSm90,"(132, 1, 1)","(384, 1, 1)",168,199680,198,44.3,8776.4
gemma_R8,flash::FlashAttnFwdSm90,"(132, 1, 1)","(384, 1, 1)",168,199680,198,33.4,6605.2
moe_R1,fused_moe_kernel,(),(),,,192,128.0,24578.6
moe_R1,fused_moe_kernel,"(768, 1, 1)","(128, 1, 1)",64,20480,336,42.8,14391.6
moe_R1,fused_moe_kernel,"(1024, 1, 1)","(128, 1, 1)",64,20480,336,23.8,7980.6
moe_R2,fused_moe_kernel,"(3288, 1, 1)","(128, 1, 1)",64,20480,336,138.6,46555.0
moe_R2,fused_moe_kernel,(),(),,,192,137.5,26407.3
moe_R2,fused_moe_kernel,"(4384, 1, 1)","(128, 1, 1)",64,20480,336,71.4,23997.1
moe_R3,fused_moe_kernel,"(6246, 1, 1)","(256, 1, 1)",194,196608,48,1345.9,64601.5
moe_R3,fused_moe_kernel,"(8328, 1, 1)","(256, 1, 1)",196,196608,48,856.7,41122.4
moe_R3,fused_moe_kernel,"(1536, 1, 1)","(128, 1, 1)",64,40960,336,64.0,21508.7
moe_R4,fused_moe_kernel,"(6246, 1, 1)","(256, 1, 1)",194,196608,48,1360.5,65302.3
moe_R4,fused_moe_kernel,"(8328, 1, 1)","(256, 1, 1)",196,196608,48,867.2,41625.5
moe_R4,fused_moe_kernel,"(1536, 1, 1)","(128, 1, 1)",64,40960,336,63.9,21478.8
moe_R5,fused_moe_kernel,(),(),,,480,136.7,65598.7
moe_R5,fused_moe_kernel,"(4008, 1, 1)","(256, 1, 1)",194,196608,48,807.4,38753.5
moe_R5,fused_moe_kernel,"(3288, 1, 1)","(128, 1, 1)",64,20480,192,134.3,25794.8
moe_R6,fused_moe_kernel,(),(),,,96,107.4,10306.2
moe_R6,fused_moe_kernel,"(192, 1, 1)","(128, 1, 1)",56,40960,432,15.7,6792.9
moe_R6,fused_moe_kernel,"(256, 1, 1)","(128, 1, 1)",56,40960,432,8.8,3788.1
moe_R7,fused_moe_kernel,"(6768, 1, 1)","(256, 1, 1)",194,196608,48,1490.3,71534.5
moe_R7,fused_moe_kernel,"(6696, 1, 1)","(256, 1, 1)",194,196608,48,1474.4,70769.2
moe_R7,fused_moe_kernel,"(6744, 1, 1)","(256, 1, 1)",194,196608,48,1463.9,70268.4
moe_R8,fused_moe_kernel,"(6774, 1, 1)","(256, 1, 1)",194,196608,48,1487.0,71376.5
moe_R8,fused_moe_kernel,"(6882, 1, 1)","(256, 1, 1)",194,196608,48,1482.7,71169.3
moe_R8,fused_moe_kernel,(),(),,,384,132.8,50980.7
